Depth,Code,Name,isLeaf(최종카테고리),,,,,,,,
4,0001000100170001,여성 > 의류 > 트랙/짐웨어 > 브라탑,1,,,,,,,,
4,0001000100170002,여성 > 의류 > 트랙/짐웨어 > 상의,1,,,,,,,,
4,0001000100170003,여성 > 의류 > 트랙/짐웨어 > 하의,1,,,,,,,,
4,0001000100170004,여성 > 의류 > 트랙/짐웨어 > 트랙자켓,1,,,,,,,,
4,0001000100170005,여성 > 의류 > 트랙/짐웨어 > 레깅스,1,,,,,,,,
3,000100010018,여성 > 의류 > 홈웨어,0,,,,,,,,
4,0001000100180001,여성 > 의류 > 홈웨어 > 원피스,1,,,,,,,,
4,0001000100180002,여성 > 의류 > 홈웨어 > 상의,1,,,,,,,,
4,0001000100180003,여성 > 의류 > 홈웨어 > 하의,1,,,,,,,,
4,0001000100180004,여성 > 의류 > 홈웨어 > 세트,1,,,,,,,,
3,000100010019,여성 > 의류 > 정장,0,,,,,,,,
4,0001000100190001,여성 > 의류 > 정장 > 상의,1,,,,,,,,
4,0001000100190002,여성 > 의류 > 정장 > 하의,1,,,,,,,,
4,0001000100190003,여성 > 의류 > 정장 > 세트,1,,,,,,,,
2,00010002,여성 > 슈즈,0,,,,,,,,
3,000100020001,여성 > 슈즈 > 플랫/로퍼,1,,,,,,,,
3,000100020002,여성 > 슈즈 > 펌프스/힐,1,,,,,,,,
3,000100020003,여성 > 슈즈 > 스니커즈,1,,,,,,,,
3,000100020004,여성 > 슈즈 > 부츠,1,,,,,,,,
3,000100020005,여성 > 슈즈 > 플리플랍/슬리퍼,1,,,,,,,,
3,000100020006,여성 > 슈즈 > 샌들,1,,,,,,,,
2,00010003,여성 > 백,0,,,,,,,,
3,000100030001,여성 > 백 > 숄더백,1,,,,,,,,
3,000100030002,여성 > 백 > 토트백,1,,,,,,,,
3,000100030003,여성 > 백 > 크로스백,1,,,,,,,,
3,000100030004,여성 > 백 > 백팩,1,,,,,,,,
3,000100030005,여성 > 백 > 힙쌕,1,,,,,,,,
3,000100030006,여성 > 백 > 클러치,1,,,,,,,,
3,000100030007,여성 > 백 > 카드/지갑홀더,1,,,,,,,,
3,000100030008,여성 > 백 > 파우치,1,,,,,,,,
3,000100030009,여성 > 백 > 브리프케이스,1,,,,,,,,
3,000100030010,여성 > 백 > 키링&키체인,1,,,,,,,,
3,000100030011,여성 > 백 > 트래블백,1,,,,,,,,
2,00010004,여성 > 주얼리,0,,,,,,,,
3,000100040001,여성 > 주얼리 > 목걸이,1,,,,,,,,
3,000100040002,여성 > 주얼리 > 귀걸이,1,,,,,,,,
3,000100040003,여성 > 주얼리 > 반지,1,,,,,,,,
3,000100040004,여성 > 주얼리 > 팔찌/발찌,1,,,,,,,,
3,000100040005,여성 > 주얼리 > 브로치/뱃지,1,,,,,,,,
3,000100040006,여성 > 주얼리 > 헤어액세서리,1,,,,,,,,
2,00010005,여성 > 액세서리,0,,,,,,,,
3,000100050001,여성 > 액세서리 > 안경/안경테,1,,,,,,,,
3,000100050002,여성 > 액세서리 > 선글라스,1,,,,,,,,
3,000100050003,여성 > 액세서리 > 패션소품/기타,1,,,,,,,,
3,000100050004,여성 > 액세서리 > 모자,0,,,,,,,,
4,0001000500040001,여성 > 액세서리 > 모자 > 비니,1,,,,,,,,
4,0001000500040002,여성 > 액세서리 > 모자 > 스냅백,1,,,,,,,,
4,0001000500040003,여성 > 액세서리 > 모자 > 야구모자,1,,,,,,,,
4,0001000500040004,여성 > 액세서리 > 모자 > 베레모,1,,,,,,,,
4,0001000500040005,여성 > 액세서리 > 모자 > 페도라,1,,,,,,,,
4,0001000500040006,여성 > 액세서리 > 모자 > 파나마햇,1,,,,,,,,
4,0001000500040007,여성 > 액세서리 > 모자 > 기타,1,,,,,,,,
3,000100050005,여성 > 액세서리 > 두건/반다나,1,,,,,,,,
3,000100050006,여성 > 액세서리 > 우산,1,,,,,,,,
3,000100050007,여성 > 액세서리 > 장갑,1,,,,,,,,
3,000100050008,여성 > 액세서리 > 지갑,1,,,,,,,,
3,000100050009,여성 > 액세서리 > 벨트,1,,,,,,,,
3,000100050010,여성 > 액세서리 > 스카프/머플러,1,,,,,,,,
3,000100050011,여성 > 액세서리 > 양말,1,,,,,,,,
3,000100050012,여성 > 액세서리 > 시계,1,,,,,,,,
1,0002,남성,0,,,,,,,,
2,00020001,남성 > 의류,0,,,,,,,,
3,000200010001,남성 > 의류 > 티셔츠,0,,,,,,,,
4,0002000100010001,남성 > 의류 > 티셔츠 > 반팔티셔츠,1,,,,,,,,
4,0002000100010002,남성 > 의류 > 티셔츠 > 긴팔티셔츠,1,,,,,,,,
4,0002000100010003,남성 > 의류 > 티셔츠 > 민소매,1,,,,,,,,
4,0002000100010004,남성 > 의류 > 티셔츠 > 맨투맨,1,,,,,,,,
4,0002000100010005,남성 > 의류 > 티셔츠 > 후디,1,,,,,,,,
3,000200010002,남성 > 의류 > 셔츠,0,,,,,,,,
4,0002000100020001,남성 > 의류 > 셔츠 > 반팔셔츠,1,,,,,,,,
4,0002000100020002,남성 > 의류 > 셔츠 > 긴팔셔츠,1,,,,,,,,
4,0002000100020003,남성 > 의류 > 셔츠 > 드레스셔츠,1,,,,,,,,
3,000200010003,남성 > 의류 > 수트,0,,,,,,,,
4,0002000100030001,남성 > 의류 > 수트 > 상의,1,,,,,,,,
4,0002000100030002,남성 > 의류 > 수트 > 하의,1,,,,,,,,
4,0002000100030003,남성 > 의류 > 수트 > 세트,1,,,,,,,,
3,000200010004,남성 > 의류 > 팬츠/진,0,,,,,,,,
4,0002000100040001,남성 > 의류 > 팬츠/진 > 슬랙스,1,,,,,,,,
4,0002000100040002,남성 > 의류 > 팬츠/진 > 치노팬츠,1,,,,,,,,
4,0002000100040003,남성 > 의류 > 팬츠/진 > 카고팬츠,1,,,,,,,,
4,0002000100040004,남성 > 의류 > 팬츠/진 > 반바지,1,,,,,,,,
4,0002000100040005,남성 > 의류 > 팬츠/진 > 레귤러&스트레이트,1,,,,,,,,
4,0002000100040006,남성 > 의류 > 팬츠/진 > 스키니팬츠,1,,,,,,,,
4,0002000100040007,남성 > 의류 > 팬츠/진 > 와이드팬츠,1,,,,,,,,
4,0002000100040009,남성 > 의류 > 팬츠/진 > 테이퍼드팬츠,1,,,,,,,,
4,0002000100040010,남성 > 의류 > 팬츠/진 > 테일러드팬츠,1,,,,,,,,
4,0002000100040011,남성 > 의류 > 팬츠/진 > 트레이닝팬츠,1,,,,,,,,
3,000200010005,남성 > 의류 > 니트,0,,,,,,,,
4,0002000100050001,남성 > 의류 > 니트 > 스웨터,1,,,,,,,,
4,0002000100050002,남성 > 의류 > 니트 > 가디건,1,,,,,,,,
4,0002000100050003,남성 > 의류 > 니트 > 터틀넥,1,,,,,,,,
4,0002000100050004,남성 > 의류 > 니트 > 베스트,1,,,,,,,,
3,000200010006,남성 > 의류 > 자켓,0,,,,,,,,
4,0002000100060001,남성 > 의류 > 자켓 > 블레이저,1,,,,,,,,
4,0002000100060002,남성 > 의류 > 자켓 > 가죽자켓,1,,,,,,,,
4,0002000100060003,남성 > 의류 > 자켓 > 자켓,1,,,,,,,,
3,000200010007,남성 > 의류 > 코트,0,,,,,,,,
4,0002000100070001,남성 > 의류 > 코트 > 하프코트,1,,,,,,,,
4,0002000100070002,남성 > 의류 > 코트 > 롱코트,1,,,,,,,,
4,0002000100070003,남성 > 의류 > 코트 > 트렌치코트,1,,,,,,,,
3,000200010008,남성 > 의류 > 점퍼,0,,,,,,,,
4,0002000100080001,남성 > 의류 > 점퍼 > 야상/사파리,1,,,,,,,,
4,0002000100080002,남성 > 의류 > 점퍼 > 블루종/항공점퍼,1,,,,,,,,
4,0002000100080003,남성 > 의류 > 점퍼 > 아노락/바람막이,1,,,,,,,,
3,000200010009,남성 > 의류 > 패딩,0,,,,,,,,
4,0002000100090001,남성 > 의류 > 패딩 > 숏패딩,1,,,,,,,,
4,0002000100090002,남성 > 의류 > 패딩 > 롱패딩,1,,,,,,,,
4,0002000100090003,남성 > 의류 > 패딩 > 패딩조끼,1,,,,,,,,
3,000200010010,남성 > 의류 > 베스트,0,,,,,,,,
4,0002000100100001,남성 > 의류 > 베스트 > 롱베스트,1,,,,,,,,
4,0002000100100002,남성 > 의류 > 베스트 > 후드베스트,1,,,,,,,,
4,0002000100100003,남성 > 의류 > 베스트 > 조끼/베스트,1,,,,,,,,
3,000200010012,남성 > 의류 > 홈/언더웨어,0,,,,,,,,
4,0002000100120001,남성 > 의류 > 홈/언더웨어 > 홈웨어상의,1,,,,,,,,
4,0002000100120002,남성 > 의류 > 홈/언더웨어 > 홈웨어하의,1,,,,,,,,
4,0002000100120003,남성 > 의류 > 홈/언더웨어 > 홈웨어세트,1,,,,,,,,
4,0002000100120004,남성 > 의류 > 홈/언더웨어 > 팬티,1,,,,,,,,
3,000200010013,남성 > 의류 > 트랙/짐웨어,0,,,,,,,,
4,0002000100130001,남성 > 의류 > 트랙/짐웨어 > 상의,1,,,,,,,,
4,0002000100130002,남성 > 의류 > 트랙/짐웨어 > 하의,1,,,,,,,,
4,0002000100130003,남성 > 의류 > 트랙/짐웨어 > 트랙자켓,1,,,,,,,,
3,000200010014,남성 > 의류 > 스윔웨어,0,,,,,,,,
4,0002000100140001,남성 > 의류 > 스윔웨어 > 상의,1,,,,,,,,
4,0002000100140002,남성 > 의류 > 스윔웨어 > 하의,1,,,,,,,,
4,0002000100140003,남성 > 의류 > 스윔웨어 > 비치용품,1,,,,,,,,
2,00020002,남성 > 슈즈,0,,,,,,,,
3,000200020001,남성 > 슈즈 > 스니커즈,1,,,,,,,,
3,000200020002,남성 > 슈즈 > 샌들,1,,,,,,,,
3,000200020003,남성 > 슈즈 > 로퍼,1,,,,,,,,
3,000200020004,남성 > 슈즈 > 정장구두,1,,,,,,,,
3,000200020005,남성 > 슈즈 > 부츠/워커,1,,,,,,,,
3,000200020006,남성 > 슈즈 > 슬립온,1,,,,,,,,
3,000200020007,남성 > 슈즈 > 옥스포드,1,,,,,,,,
3,000200020008,남성 > 슈즈 > 슬리퍼/플리플랍,1,,,,,,,,
3,000200020009,남성 > 슈즈 > 하이탑,1,,,,,,,,
2,00020003,남성 > 백,0,,,,,,,,
3,000200030001,남성 > 백 > 브리프케이스,1,,,,,,,,
3,000200030002,남성 > 백 > 백팩,1,,,,,,,,
3,000200030003,남성 > 백 > 숄더백,1,,,,,,,,
3,000200030004,남성 > 백 > 크로스백,1,,,,,,,,
3,000200030005,남성 > 백 > 토트백,1,,,,,,,,
3,000200030006,남성 > 백 > 지갑&카드홀더,1,,,,,,,,
3,000200030007,남성 > 백 > 클러치백,1,,,,,,,,
3,000200030008,남성 > 백 > 파우치,1,,,,,,,,
3,000200030009,남성 > 백 > 키링&키체인,1,,,,,,,,
3,000200030010,남성 > 백 > 트래블백,1,,,,,,,,
2,00020004,남성 > 주얼리,0,,,,,,,,
3,000200040001,남성 > 주얼리 > 목걸이,1,,,,,,,,
3,000200040002,남성 > 주얼리 > 귀걸이,1,,,,,,,,
3,000200040003,남성 > 주얼리 > 반지,1,,,,,,,,
3,000200040004,남성 > 주얼리 > 팔찌,1,,,,,,,,
2,00020005,남성 > 액세서리,0,,,,,,,,
3,000200050001,남성 > 액세서리 > 안경/안경테,1,,,,,,,,
3,000200050002,남성 > 액세서리 > 선글라스,1,,,,,,,,
3,000200050003,남성 > 액세서리 > 패션소품/기타,1,,,,,,,,
3,000200050004,남성 > 액세서리 > 모자,0,,,,,,,,
4,0002000500040001,남성 > 액세서리 > 모자 > 비니,1,,,,,,,,
4,0002000500040002,남성 > 액세서리 > 모자 > 스냅백,1,,,,,,,,
4,0002000500040003,남성 > 액세서리 > 모자 > 야구모자,1,,,,,,,,
4,0002000500040004,남성 > 액세서리 > 모자 > 베레모,1,,,,,,,,
4,0002000500040005,남성 > 액세서리 > 모자 > 페도라,1,,,,,,,,
4,0002000500040006,남성 > 액세서리 > 모자 > 파나마햇,1,,,,,,,,
4,0002000500040007,남성 > 액세서리 > 모자 > 기타,1,,,,,,,,
3,000200050005,남성 > 액세서리 > 두건/반다나,1,,,,,,,,
3,000200050006,남성 > 액세서리 > 우산,1,,,,,,,,
3,000200050007,남성 > 액세서리 > 장갑,1,,,,,,,,
3,000200050008,남성 > 액세서리 > 지갑,1,,,,,,,,
3,000200050009,남성 > 액세서리 > 벨트,1,,,,,,,,
3,000200050010,남성 > 액세서리 > 스카프/머플러,1,,,,,,,,
3,000200050011,남성 > 액세서리 > 양말,1,,,,,,,,
3,000200050012,남성 > 액세서리 > 시계,1,,,,,,,,
1,0005,유아동,0,,,,,,,,
2,00050001,유아동 > 장난감/완구,0,,,,,,,,
3,000500010001,유아동 > 장난감/완구 > 역할놀이완구,0,,,,,,,,
4,0005000100010001,유아동 > 장난감/완구 > 역할놀이완구 > 화장놀이,1,,,,,,,,
4,0005000100010002,유아동 > 장난감/완구 > 역할놀이완구 > 가게놀이,1,,,,,,,,
4,0005000100010003,유아동 > 장난감/완구 > 역할놀이완구 > 공구놀이,1,,,,,,,,
4,0005000100010004,유아동 > 장난감/완구 > 역할놀이완구 > 기타역할놀이완구,1,,,,,,,,
4,0005000100010005,유아동 > 장난감/완구 > 역할놀이완구 > 낚시놀이,1,,,,,,,,
4,0005000100010006,유아동 > 장난감/완구 > 역할놀이완구 > 병원놀이,1,,,,,,,,
4,0005000100010007,유아동 > 장난감/완구 > 역할놀이완구 > 소꿉놀이,1,,,,,,,,
4,0005000100010008,유아동 > 장난감/완구 > 역할놀이완구 > 인형유모차,1,,,,,,,,
4,0005000100010009,유아동 > 장난감/완구 > 역할놀이완구 > 주방놀이,1,,,,,,,,
3,000500010002,유아동 > 장난감/완구 > 원목교구/가베,0,,,,,,,,
4,0005000100020001,유아동 > 장난감/완구 > 원목교구/가베 > 가베교구세트,1,,,,,,,,
4,0005000100020002,유아동 > 장난감/완구 > 원목교구/가베 > 기타원목교구/가베,1,,,,,,,,
4,0005000100020003,유아동 > 장난감/완구 > 원목교구/가베 > 도미노/도형쌓기,1,,,,,,,,
4,0005000100020004,유아동 > 장난감/완구 > 원목교구/가베 > 롤러코스터완구,1,,,,,,,,
4,0005000100020005,유아동 > 장난감/완구 > 원목교구/가베 > 롤러코스터완구,1,,,,,,,,
4,0005000100020006,유아동 > 장난감/완구 > 원목교구/가베 > 실꿰기/구슬꿰기,1,,,,,,,,
4,0005000100020007,유아동 > 장난감/완구 > 원목교구/가베 > 원목교구세트,1,,,,,,,,
4,0005000100020008,유아동 > 장난감/완구 > 원목교구/가베 > 원목큐브/하노이탑,1,,,,,,,,
3,000500010003,유아동 > 장난감/완구 > 유아동퍼즐,0,,,,,,,,
4,0005000100030001,유아동 > 장난감/완구 > 유아동퍼즐 > 구슬퍼즐,1,,,,,,,,
4,0005000100030002,유아동 > 장난감/완구 > 유아동퍼즐 > 그림/숫자퍼즐,1,,,,,,,,
4,0005000100030003,유아동 > 장난감/완구 > 유아동퍼즐 > 도형퍼즐/칠교놀이,1,,,,,,,,
4,0005000100030004,유아동 > 장난감/완구 > 유아동퍼즐 > 원목/꼭지퍼즐,1,,,,,,,,
4,0005000100030005,유아동 > 장난감/완구 > 유아동퍼즐 > 종이/입체퍼즐,1,,,,,,,,
4,0005000100030006,유아동 > 장난감/완구 > 유아동퍼즐 > 직소퍼즐/액자,1,,,,,,,,
4,0005000100030007,유아동 > 장난감/완구 > 유아동퍼즐 > 캐스트/메탈퍼즐,1,,,,,,,,
4,0005000100030008,유아동 > 장난감/완구 > 유아동퍼즐 > 큐브/소마큐브,1,,,,,,,,
3,000500010004,유아동 > 장난감/완구 > 음악/악기놀이,0,,,,,,,,
4,0005000100040001,유아동 > 장난감/완구 > 음악/악기놀이 > 기타음악/악기놀이,1,,,,,,,,
4,0005000100040002,유아동 > 장난감/완구 > 음악/악기놀이 > 드럼/리듬악기완구,1,,,,,,,,
4,0005000100040003,유아동 > 장난감/완구 > 음악/악기놀이 > 마이크/노래방완구,1,,,,,,,,
4,0005000100040004,유아동 > 장난감/완구 > 음악/악기놀이 > 바이올린/기타완구,1,,,,,,,,
4,0005000100040005,유아동 > 장난감/완구 > 음악/악기놀이 > 실로폰/멜로디언완구,1,,,,,,,,
4,0005000100040006,유아동 > 장난감/완구 > 음악/악기놀이 > 악기놀이세트,1,,,,,,,,
4,0005000100040007,유아동 > 장난감/완구 > 음악/악기놀이 > 피아노완구,1,,,,,,,,
3,000500010005,유아동 > 장난감/완구 > 인형,0,,,,,,,,
4,0005000100050001,유아동 > 장난감/완구 > 인형 > 기타인형,1,,,,,,,,
4,0005000100050002,유아동 > 장난감/완구 > 인형 > 봉제인형,1,,,,,,,,
4,0005000100050003,유아동 > 장난감/완구 > 인형 > 손가락인형,1,,,,,,,,
4,0005000100050004,유아동 > 장난감/완구 > 인형 > 캐릭터/패션인형,1,,,,,,,,
3,000500010006,유아동 > 장난감/완구 > 자연/과학완구,0,,,,,,,,
4,0005000100060001,유아동 > 장난감/완구 > 자연/과학완구 > 고무동력기/물로켓,1,,,,,,,,
4,0005000100060002,유아동 > 장난감/완구 > 자연/과학완구 > 곤충학습완구,1,,,,,,,,
4,0005000100060003,유아동 > 장난감/완구 > 자연/과학완구 > 공룡학습완구,1,,,,,,,,
4,0005000100060004,유아동 > 장난감/완구 > 자연/과학완구 > 과학상자,1,,,,,,,,
4,0005000100060005,유아동 > 장난감/완구 > 자연/과학완구 > 기타과학완구,1,,,,,,,,
4,0005000100060006,유아동 > 장난감/완구 > 자연/과학완구 > 동물학습완구,1,,,,,,,,
4,0005000100060007,유아동 > 장난감/완구 > 자연/과학완구 > 식물학습완구,1,,,,,,,,
4,0005000100060008,유아동 > 장난감/완구 > 자연/과학완구 > 코딩완구,1,,,,,,,,
4,0005000100060009,유아동 > 장난감/완구 > 자연/과학완구 > 현미경/망원경완구,1,,,,,,,,
3,000500010007,유아동 > 장난감/완구 > 작동완구,0,,,,,,,,
4,0005000100070001,유아동 > 장난감/완구 > 작동완구 > 기차작동완구,1,,,,,,,,
4,0005000100070002,유아동 > 장난감/완구 > 작동완구 > 기타작동완구,1,,,,,,,,
4,0005000100070003,유아동 > 장난감/완구 > 작동완구 > 녹음완구,1,,,,,,,,
4,0005000100070004,유아동 > 장난감/완구 > 작동완구 > 동물작동완구,1,,,,,,,,
4,0005000100070005,유아동 > 장난감/완구 > 작동완구 > 비행작동완구,1,,,,,,,,
4,0005000100070006,유아동 > 장난감/완구 > 작동완구 > 오토바이작동완구,1,,,,,,,,
4,0005000100070007,유아동 > 장난감/완구 > 작동완구 > 자동차작동완구,1,,,,,,,,
4,0005000100070008,유아동 > 장난감/완구 > 작동완구 > 장난감총,1,,,,,,,,
4,0005000100070009,유아동 > 장난감/완구 > 작동완구 > 주차장/주차타워,1,,,,,,,,
3,000500010008,유아동 > 장난감/완구 > RC완구,0,,,,,,,,
4,0005000100080001,유아동 > 장난감/완구 > RC완구 > 기타RC완구,1,,,,,,,,
4,0005000100080002,유아동 > 장난감/완구 > RC완구 > 비행RC완구,1,,,,,,,,
4,0005000100080003,유아동 > 장난감/완구 > RC완구 > 자동차RC완구,1,,,,,,,,
3,000500010009,유아동 > 장난감/완구 > 감각발달완구,0,,,,,,,,
4,0005000100090001,유아동 > 장난감/완구 > 감각발달완구 > 기타감각발달완구,1,,,,,,,,
4,0005000100090002,유아동 > 장난감/완구 > 감각발달완구 > 도형끼우기완구,1,,,,,,,,
4,0005000100090003,유아동 > 장난감/완구 > 감각발달완구 > 멜로디완구,1,,,,,,,,
4,0005000100090004,유아동 > 장난감/완구 > 감각발달완구 > 비눗방울놀이,1,,,,,,,,
4,0005000100090005,유아동 > 장난감/완구 > 감각발달완구 > 아기전화기완구,1,,,,,,,,
4,0005000100090006,유아동 > 장난감/완구 > 감각발달완구 > 컵쌓기/링쌓기,1,,,,,,,,
4,0005000100090007,유아동 > 장난감/완구 > 감각발달완구 > 헝겊책/헝겊완구,1,,,,,,,,
3,000500010010,유아동 > 장난감/완구 > 공간놀이완구,0,,,,,,,,
4,0005000100100001,유아동 > 장난감/완구 > 공간놀이완구 > 그네완구,1,,,,,,,,
4,0005000100100002,유아동 > 장난감/완구 > 공간놀이완구 > 기타공간놀이완구,1,,,,,,,,
4,0005000100100003,유아동 > 장난감/완구 > 공간놀이완구 > 놀이집,1,,,,,,,,
4,0005000100100004,유아동 > 장난감/완구 > 공간놀이완구 > 다기능놀이터,1,,,,,,,,
4,0005000100100005,유아동 > 장난감/완구 > 공간놀이완구 > 미끄럼틀완구,1,,,,,,,,
4,0005000100100006,유아동 > 장난감/완구 > 공간놀이완구 > 베이비룸,1,,,,,,,,
4,0005000100100007,유아동 > 장난감/완구 > 공간놀이완구 > 볼텐트/놀이텐트,1,,,,,,,,
4,0005000100100008,유아동 > 장난감/완구 > 공간놀이완구 > 시소완구,1,,,,,,,,
3,000500010011,유아동 > 장난감/완구 > 로봇/캐릭터완구,0,,,,,,,,
4,0005000100110001,유아동 > 장난감/완구 > 로봇/캐릭터완구 > 기타로봇/캐릭터완구,1,,,,,,,,
4,0005000100110002,유아동 > 장난감/완구 > 로봇/캐릭터완구 > 로봇완구,1,,,,,,,,
4,0005000100110003,유아동 > 장난감/완구 > 로봇/캐릭터완구 > 캐릭터완구,1,,,,,,,,
4,0005000100110004,유아동 > 장난감/완구 > 로봇/캐릭터완구 > 캐릭터카드/딱지,1,,,,,,,,
3,000500010012,유아동 > 장난감/완구 > 물놀이완구,0,,,,,,,,
4,0005000100120001,유아동 > 장난감/완구 > 물놀이완구 > 기타물놀이완구,1,,,,,,,,
4,0005000100120002,유아동 > 장난감/완구 > 물놀이완구 > 모래놀이,1,,,,,,,,
